x,y,best_fit,Sextet_1
-2.000000e+00,9.994810e-01,9.998974e-01,1.026396e-04
-1.984375e+00,9.999540e-01,9.998950e-01,1.049757e-04
-1.968750e+00,9.995580e-01,9.998926e-01,1.073987e-04
-1.953125e+00,1.000076e+00,9.998901e-01,1.099131e-04
-1.937500e+00,9.996470e-01,9.998875e-01,1.125237e-04
-1.921875e+00,1.000425e+00,9.998848e-01,1.152358e-04
-1.906250e+00,9.994300e-01,9.998819e-01,1.180551e-04
-1.890625e+00,9.999460e-01,9.998790e-01,1.209874e-04
-1.875000e+00,9.996300e-01,9.998760e-01,1.240393e-04
-1.859375e+00,1.000090e+00,9.998728e-01,1.272176e-04
-1.843750e+00,1.000252e+00,9.998695e-01,1.305299e-04
-1.828125e+00,1.000007e+00,9.998660e-01,1.339840e-04
-1.812500e+00,1.000305e+00,9.998624e-01,1.375888e-04
-1.796875e+00,9.998750e-01,9.998586e-01,1.413534e-04
-1.781250e+00,9.999640e-01,9.998547e-01,1.452880e-04
-1.765625e+00,9.998270e-01,9.998506e-01,1.494036e-04
-1.750000e+00,9.998250e-01,9.998463e-01,1.537119e-04
-1.734375e+00,1.000003e+00,9.998418e-01,1.582258e-04
-1.718750e+00,9.999390e-01,9.998370e-01,1.629593e-04
-1.703125e+00,9.995510e-01,9.998321e-01,1.679277e-04
-1.687500e+00,9.997560e-01,9.998269e-01,1.731475e-04
-1.671875e+00,9.999940e-01,9.998214e-01,1.786369e-04
-1.656250e+00,1.000266e+00,9.998156e-01,1.844157e-04
-1.640625e+00,1.000738e+00,9.998095e-01,1.905058e-04
-1.625000e+00,9.997450e-01,9.998031e-01,1.969311e-04
-1.609375e+00,9.996910e-01,9.997963e-01,2.037179e-04
-1.593750e+00,1.000341e+00,9.997891e-01,2.108952e-04
-1.578125e+00,9.997430e-01,9.997815e-01,2.184953e-04
-1.562500e+00,9.997910e-01,9.997734e-01,2.265537e-04
-1.546875e+00,9.998490e-01,9.997649e-01,2.351100e-04
-1.531250e+00,9.997920e-01,9.997558e-01,2.442081e-04
-1.515625e+00,9.999540e-01,9.997461e-01,2.538972e-04
-1.500000e+00,9.999870e-01,9.997358e-01,2.642322e-04
-1.484375e+00,1.000121e+00,9.997247e-01,2.752748e-04
-1.468750e+00,9.998580e-01,9.997129e-01,2.870944e-04
-1.453125e+00,9.997120e-01,9.997002e-01,2.997693e-04
-1.437500e+00,9.998240e-01,9.996866e-01,3.133884e-04
-1.421875e+00,9.996940e-01,9.996719e-01,3.280524e-04
-1.406250e+00,9.994490e-01,9.996561e-01,3.438764e-04
