channel	count
0	7093423
1	7101764
2	7098232
3	7100949
4	7099603
5	7099816
6	7096144
7	7097450
8	7096710
9	7097445
10	7096885
11	7098479
12	7100040
13	7093926
14	7094162
15	7092929
16	7092898
17	7094040
18	7090880
19	7089994
20	7092335
21	7093356
22	7094306
23	7096043
24	7088158
25	7084418
26	7088636
27	7087697
28	7088773
29	7088541
30	7089828
31	7088778
32	7087454
33	7087239
34	7089519
35	7085567
36	7083240
37	7086649
38	7083186
39	7084369
40	7085709
41	7082282
42	7084028
43	7082271
44	7082996
45	7083744
46	7080544
47	7081249
48	7079747
49	7079807
50	7079707
51	7081006
52	7079731
53	7075058
54	7080113
55	7078695
56	7074500
57	7075502
58	7078669
59	7076163
60	7073949
61	7073147
62	7065728
63	7065556
64	7064437
65	7056774
66	7046750
67	7032336
68	7003943
69	6949301
70	6813128
71	6637676
72	6674180
73	6849623
74	6957569
75	7006230
76	7026541
77	7042265
78	7048788
79	7059820
80	7059043
81	7059423
82	7057987
83	7060880
84	7067143
85	7061612
86	7060226
87	7051726
88	7049803
89	7040912
90	7026468
91	6991875
92	6921768
93	6769883
94	6686408
95	6830063
96	6949158
97	7014794
98	7034064
99	7043549
100	7049951
101	7055895
102	7063059
103	7055806
104	7062811
105	7064481
106	7060423
107	7066843
108	7057457
109	7062658
110	7058837
111	7051034
112	7050145
113	7035533
114	7016845
115	6945643
116	6839741
117	6873444
118	6973325
119	7020672
120	7042552
121	7052493
122	7053050
123	7053791
124	7062985
125	7061368
126	7056802
127	7053704
128	7047744
129	7046037
130	7033829
131	7010088
132	6947275
133	6845832
134	6873630
135	6972348
136	7023314
137	7041096
138	7056351
139	7052239
140	7061417
141	7067479
142	7067033
143	7063515
144	7059591
145	7062009
146	7058015
147	7062537
148	7063082
149	7055187
150	7049184
151	7043314
152	7028074
153	6998413
154	6948919
155	6816140
156	6687599
157	6784054
158	6931048
159	6999096
160	7025258
161	7041605
162	7057676
163	7058207
164	7055803
165	7059634
166	7066115
167	7057744
168	7057245
169	7060496
170	7053334
171	7058529
172	7056853
173	7046036
174	7035793
175	7015660
176	6974791
177	6886726
178	6727124
179	6604934
180	6743362
181	6899141
182	6984317
183	7021092
184	7036846
185	7052531
186	7056957
187	7063605
188	7062887
189	7070037
190	7071124
191	7074003
192	7074709
193	7072965
194	7072857
195	7077240
196	7077302
197	7080763
198	7076588
199	7076811
200	7080755
201	7081578
202	7077582
203	7086554
204	7081455
205	7083032
206	7080623
207	7079817
208	7082191
209	7081639
210	7085899
211	7080990
212	7083057
213	7084468
214	7084996
215	7086686
216	7086836
217	7087192
218	7088939
219	7087869
220	7085263
221	7086385
222	7086281
223	7092006
224	7088354
225	7090205
226	7091937
227	7089604
228	7087592
229	7091229
230	7091825
231	7094310
232	7093440
233	7092248
234	7093916
235	7097067
236	7096477
237	7093203
238	7092421
239	7098022
240	7096928
241	7094344
242	7097020
243	7098633
244	7096314
245	7098568
246	7096620
247	7099189
248	7098852
249	7100839
250	7100749
251	7104755
252	7103057
253	7100603
254	7099787
255	7103250
256	7104619
257	7099910
258	7100981
259	7108832
260	7104574
261	7098375
262	7099432
263	7108251
264	7103653
265	7105427
266	7109471
267	7107899
268	7110023
269	7107225
270	7108752
271	7109815
272	7108706
273	7109380
274	7115551
275	7109281
276	7112810
277	7110768
278	7108428
279	7113928
280	7111876
281	7113670
282	7107855
283	7115361
284	7111862
285	7109290
286	7109937
287	7114615
288	7114728
289	7113664
290	7113316
291	7111636
292	7116582
293	7113057
294	7115880
295	7113862
296	7115365
297	7120890
298	7118806
299	7117746
300	7120253
301	7116758
302	7118632
303	7119079
304	7116528
305	7120464
306	7117020
307	7122200
308	7125868
309	7116976
310	7121687
311	7115862
312	7118946
313	7115373
